PROMOTOR-GESTOR;TIPUS VELOCITAT;LATITUD;LONGITUD;PROVINCIA;MUNICIPI;NPLACES ESTACIO
Estabanell y Pahisa;NORMAL;41,682718;2,2825619;Barcelona;La Garriga;1
Desconegut;semiRAPID;41,84843;2,39057;Girona;Viladrau;2
CORIO REAL ESTATE;NORMAL;41,375511;2,182206;Barcelona;Barcelona;6
B:SM Serveis Municipals;NORMAL;41,41907;2,17938;Barcelona;Barcelona;1
22@;NORMAL;41,396897;2,200017;Barcelona;Barcelona;1
ENGESTUR;NORMAL;41,45478068;2,246644505;Barcelona;Badalona;6
Desconegut;semiRAPID i NORMAL;42,36972;2,98167;Girona;Sant Climent Sescebes;1
El Corte Ingls;NORMAL;41,387627;2,128022;Barcelona;Barcelona;3
BIMSA;NORMAL;41,396282;2,159285;Barcelona;Barcelona;2
Endesa;NORMAL;41,438882;2,181366;Barcelona;Barcelona;2
CC BARNASUD;NORMAL;41,296209;2,006457;Barcelona;Gav;2
Desconegut;NORMAL;41,588539;2,580349;Barcelona;Canet de Mar;1
GAICU;RAPID;41,39347;2,20446;Barcelona;Barcelona;1
TESLA Hotel Ibis;superRAPID;41,998494;2,817328;Girona;Girona;4
B:SM Serveis Municipals;NORMAL;41,4067;2,2184;Barcelona;Barcelona;2
Endesa;NORMAL;41,442436;2,197319;Barcelona;Barcelona;2
B:SM Serveis Municipals;NORMAL;41,449138;2,190748;Barcelona;Barcelona;2
Endesa;NORMAL;41,392296;2,132156;Barcelona;Barcelona;2
Ajuntament de Beuda;NORMAL;42,23771;2,71061;Girona;Beuda;2
AMERSAM;NORMAL;41,149887;1,105901;Tarragona;Reus;2
Desconegut;;41,08313;0,95859;Tarragona;Mont-Roig del Camp;1
Endesa;NORMAL;41,444744;2,174166;Barcelona;Barcelona;2
Generalitat de Catalunya;NORMAL;41,53044;2,08878;Barcelona;SANT QUIRZE DEL VALL;2
B:SM Serveis Municipals;NORMAL;41,382737;2,194412;Barcelona;Barcelona;9
Endesa;NORMAL;41,408447;2,202893;Barcelona;Barcelona;2
EUSAB;NORMAL;41,43054737;2,218260673;Barcelona;Sant Adri de Bess;2
SABA;NORMAL;41,411869;2,132823;Barcelona;Barcelona;2
Desconegut;;41,37302;2,17892;Barcelona;Barcelona;1
AMERSAM;NORMAL;41,15034;1,110766;Tarragona;Reus;2
Endesa;NORMAL;41,407269;2,138413;Barcelona;Barcelona;2
Desconegut;semiRAPID i NORMAL;41,51106;2,40104;Barcelona;Cabrera de Mar;2
SERVICIOS MERIDIANA;NORMAL;41,402645;2,202802;Barcelona;Barcelona;6
Institut Catal d'Energia i GAICU;RAPID;41,38244;2,18361;Barcelona;Barcelona;1
Vincipark;NORMAL;41,373722;2,170482;Barcelona;Barcelona;3
InterAparcament;NORMAL;41,392826;2,163384;Barcelona;Barcelona;2
IBERDROLA SERVICIOS ENERGETICOS, SAU;NORMAL;41,385166;2,116051;Barcelona;Barcelona;6
CC IKEA SABADELL;NORMAL;41,511;2,1063;Barcelona;Sabadell;21
Institut Catal d'Energia i GAICU;RAPID;41,432965;2,203728;Barcelona;Barcelona;1
B:SM Serveis Municipals;NORMAL;41,398969;2,153493;Barcelona;Barcelona;1
ENGESTUR;NORMAL;41,4439793;2,238902041;Barcelona;Badalona;6
Endesa;NORMAL;41,390945;2,196515;Barcelona;Barcelona;2
Desconegut;semiRAPID;41,54151;1,89236;Barcelona;Olesa de Montserrat;1
CC CARREFOUR MATARO;NORMAL;41,51978;2,421356;Barcelona;Cabrera de Mar;2
B:SM Serveis Municipals;NORMAL;41,399815;2,123474;Barcelona;Barcelona;3
Institut Catal d'Energia i Ajuntament de Santa Perptua de Mogoda;RAPID;41,52752;2,18587;Barcelona;Santa Perpetua de la Mogoda;2
Ajuntament de Sant Cugat del Valls;NORMAL;41,469931;2,08801;Barcelona;Sant Cugat del Valles;2
Desconegut;semiRAPID i NORMAL;41,62044;0,61788;Lleida;Lleida;2
HOTEL NH CONSTANZA;NORMAL;41,3915983;2,1778505;Barcelona;Barcelona;1
TESLA;semiRAPID;41,82447;3,07745;Girona;Platja d'Aro;1
B:SM Serveis Municipals;NORMAL;41,383144;2,150551;Barcelona;Barcelona;1
GAICU;RAPID;41,415125;2,136311;Barcelona;Barcelona;1
PETROMIRALLES;NORMAL;41,588905;1,6218929;Barcelona;Igualada;1
Desconegut;;41,08438;1,036;Tarragona;Cambrils;2
HOTEL NH CONSTANZA;NORMAL;41,38879;2,136332;Barcelona;Barcelona;1
B:SM Serveis Municipals;NORMAL;41,442055;2,177675;Barcelona;Barcelona;4
Institut Catal d'Energia i GAICU;RAPID;41,37996;2,13914;Barcelona;Barcelona;2
B:SM Serveis Municipals;NORMAL;41,374588;2,14287;Barcelona;Barcelona;1
BIMSA;RAPID;41,393773;2,149196;Barcelona;Barcelona;1
BIMSA;RAPID;41,374847;2,171055;Barcelona;Barcelona;1
Ajuntament de Mollet;semiRAPID i NORMAL;41,53721;2,21108;Barcelona;Mollet del Valls;2
B:SM Serveis Municipals;NORMAL;41,413015;2,221156;Barcelona;Barcelona;6
CC CARREFOUR El Prat;NORMAL;41,335179;2,088768;Barcelona;El Prat de Llobregat;2
Ajuntament de Llinars del Valls;NORMAL;41,64018423;2,399023735;Barcelona;Llinars del Valls;1
B:SM Serveis Municipals;NORMAL;41,388797;2,192651;Barcelona;Barcelona;1
Institut Catal d'Energia i Ajuntament de Matar;semiRAPID;41,54458;2,44729;Barcelona;Matar;2
B:SM Serveis Municipals;NORMAL;41,4044;2,1972;Barcelona;Barcelona;3
Endesa;NORMAL;41,420013;2,20167;Barcelona;Barcelona;2
BIMSA;NORMAL;41,396281;2,159284;Barcelona;Barcelona;2
TESLA;semiRAPID;41,81987;2,96417;Girona;Santa Cristina d'Aro;1
Institut Catal d'Energia i Ajuntament de Sant Feliu de Guxols;semiRAPID;41,79432;3,01903;Girona;Sant Feliu de Guxols;2
Camping;semiRAPID i NORMAL;42,17743;3,10797;Girona;Sant Pere Pescador;4
TESLA;semiRAPID;42,27591;2,95365;Girona;Figueres;1
Area Metropolitana de Barcelona;RAPID i NORMAL;41,29728;2,00811;Barcelona;Gav;4
IBERDROLA SERVICIOS ENERGETICOS, SAU;NORMAL;41,393854;2,108432;Barcelona;Barcelona;10
TESLA Hotel Mas la Boella;superRAPID;41,134761;1,169125;Tarragona;La Canonja;4
GAICU;RAPID;41,431152;2,183394;Barcelona;Barcelona;1
